Beach,Transect,Meter,Zone,Small,Medium,Large
Zuma,1,1,Dry,0,0,0
Zuma,1,2,Dry,0,0,0
Zuma,1,3,Dry,0,1,0
Zuma,1,4,Dry,9,1,0
Zuma,1,5,Swash,8,2,0
Zuma,1,6,Swash,4,3,3
Zuma,1,7,Swash,0,5,2
Zuma,1,8,Swash,0,0,0
Zuma,1,9,Swash,0,0,0
Zuma,1,10,Swash,2,1,3
Zuma,2,1,Dry,0,0,0
Zuma,2,2,Dry,0,0,0
Zuma,2,3,Dry,0,0,0
Zuma,2,4,Dry,0,0,0
Zuma,2,5,Swash,1,0,0
Zuma,2,6,Swash,6,2,0
Zuma,2,7,Swash,0,0,0
Zuma,2,8,Swash,0,0,1
Zuma,2,9,Swash,5,2,0
Zuma,2,10,Swash,1,0,0
Dume,3,1,Dry,0,0,0
Dume,3,2,Dry,0,0,0
Dume,3,3,Dry,0,0,0
Dume,3,4,Dry,0,0,0
Dume,3,5,Swash,10,0,0
Dume,3,6,Swash,13,0,0
Dume,3,7,Swash,6,0,0
Dume,3,8,Swash,6,3,0
Dume,3,9,Swash,0,0,2
Dume,3,10,Swash,2,0,0
Dume,4,1,Dry,0,0,0
Dume,4,2,Dry,0,0,0
Dume,4,3,Dry,0,0,0
Dume,4,4,Dry,1,0,0
Dume,4,5,Swash,4,1,0
Dume,4,6,Swash,6,0,0
Dume,4,7,Swash,9,1,0
Dume,4,8,Swash,0,0,0
Dume,4,9,Swash,6,1,0
Dume,4,10,Swash,4,0,2
