Transect,Meter,Zone,Crabs,Microplastics.percentage
3,1,Dry,Absent,0.0625
3,2,Dry,Absent,0.025
3,3,Dry,Absent,0.05
3,4,Dry,Absent,0.0625
3,5,Swash,Present,0.0125
3,6,Swash,Present,0
3,7,Swash,Present,0.0125
3,8,Swash,Present,0.0125
3,9,Swash,Present,0
3,10,Swash,Present,0.0125
4,1,Dry,Absent,0.1
4,2,Dry,Absent,0.0125
4,3,Dry,Absent,0.0375
4,4,Dry,Present,0.0125
4,5,Swash,Present,0.025
4,6,Swash,Present,0.075
4,7,Swash,Present,0.025
4,8,Swash,Absent,0.0375
4,9,Swash,Present,0.0125
4,10,Swash,Present,0.0375
