Vert. Transect,Sampling Location (m),Small Sand Crab Count,Medium Sand Crab Count,Large Sand Crab Count,Total Sand Crab Count,Microplastic Raw Height (mL),Sand Raw Height (mL),Microplastic Proportion
1,5,0,0,0,0,2.5,20,12.50%
1,4,0,0,0,0,1,20,5.00%
1,3,0,1,0,1,2,20,10.00%
1,2,9,1,0,10,2,20,10.00%
1,1,8,2,0,10,1,20,5.00%
1,-1,4,3,3,10,0.25,20,1.25%
1,-2,0,5,2,7,0.75,20,3.75%
1,-3,0,0,0,0,0.5,20,2.50%
1,-4,0,0,0,0,1,20,5.00%
1,-5,2,1,3,6,1.25,20,6.25%
2,5,0,0,0,0,1.25,20,6.25%
2,4,0,0,0,0,2,20,10.00%
2,3,0,0,0,0,1.5,20,7.50%
2,2,0,0,0,0,1.5,20,7.50%
2,1,1,0,0,1,1,20,5.00%
2,-1,6,2,0,8,1,20,5.00%
2,-2,0,0,0,0,0.5,20,2.50%
2,-3,0,0,1,1,1.5,20,7.50%
2,-4,5,2,0,7,0.75,20,3.75%
2,-5,1,0,0,1,0,20,0.00%
