Transect,Meter,Zone,Crabs,Microplastic.percentage
1,1,Dry,Absent,0.125
1,2,Dry,Absent,0.05
1,3,Dry,Present,0.1
1,4,Dry,Present,0.1
1,5,Swash,Present,0.05
1,6,Swash,Present,0.0125
1,7,Swash,Present,0.0375
1,8,Swash,Absent,0.025
1,9,Swash,Absent,0.05
1,10,Swash,Present,0.0625
2,1,Dry,Absent,0.0625
2,2,Dry,Absent,0.1
2,3,Dry,Absent,0.075
2,4,Dry,Absent,0.075
2,5,Swash,Present,0.05
2,6,Swash,Present,0.05
2,7,Swash,Absent,0.025
2,8,Swash,Present,0.075
2,9,Swash,Present,0.0375
2,10,Swash,Present,0
