Beach Name,Original Sampling Label,Vert. Transect,Sampling Location (m),Small Sand Crab Count,Medium Sand Crab Count,Large Sand Crab Count,Total Sand Crab Count,Microplastic Raw Height (mL),Sand Raw Height (mL),Microplastic Proportion (%)
Zuma,"1,5",1,5,0,0,0,0,2.5,20,12.50%
Zuma,"1,4",1,4,0,0,0,0,1,20,5.00%
Zuma,"1,3",1,3,0,1,0,1,2,20,10.00%
Zuma,"1,2",1,2,9,1,0,10,2,20,10.00%
Zuma,"1,1",1,1,8,2,0,10,1,20,5.00%
Zuma,"1,-1",1,-1,4,3,3,10,0.25,20,1.25%
Zuma,"1,-2",1,-2,0,5,2,7,0.75,20,3.75%
Zuma,"1,-3",1,-3,0,0,0,0,0.5,20,2.50%
Zuma,"1,-4",1,-4,0,0,0,0,1,20,5.00%
Zuma,"1,-5",1,-5,2,1,3,6,1.25,20,6.25%
Zuma,"2,5",2,5,0,0,0,0,1.25,20,6.25%
Zuma,"2,4",2,4,0,0,0,0,2,20,10.00%
Zuma,"2,3",2,3,0,0,0,0,1.5,20,7.50%
Zuma,"2,2",2,2,0,0,0,0,1.5,20,7.50%
Zuma,"2,1",2,1,1,0,0,1,1,20,5.00%
Zuma,"2,-1",2,-1,6,2,0,8,1,20,5.00%
Zuma,"2,-2",2,-2,0,0,0,0,0.5,20,2.50%
Zuma,"2,-3",2,-3,0,0,1,1,1.5,20,7.50%
Zuma,"2,-4",2,-4,5,2,0,7,0.75,20,3.75%
Zuma,"2,-5",2,-5,1,0,0,1,0,20,0.00%
Point Dume,"0,5",3,5,0,0,0,0,1.25,20,6.25%
Point Dume,"0,4",3,4,0,0,0,0,0.5,20,2.50%
Point Dume,"0,3",3,3,0,0,0,0,1,20,5.00%
Point Dume,"0,2",3,2,0,0,0,0,1.25,20,6.25%
Point Dume,"0,1",3,1,10,0,0,10,0.25,20,1.25%
Point Dume,"0,-1",3,-1,13,0,0,13,0,20,0.00%
Point Dume,"0,-2",3,-2,6,0,0,6,0.25,20,1.25%
Point Dume,"0,-3",3,-3,6,3,0,9,0.25,20,1.25%
Point Dume,"0,-4",3,-4,0,0,2,2,0,20,0.00%
Point Dume,"0,-5",3,-5,2,0,0,2,0.25,20,1.25%
Point Dume,"4,5",4,5,0,0,0,0,2,20,10.00%
Point Dume,"4,4",4,4,0,0,0,0,0.25,20,1.25%
Point Dume,"4,3",4,3,0,0,0,0,0.75,20,3.75%
Point Dume,"4,2",4,2,1,0,0,1,0.25,20,1.25%
Point Dume,"4,1",4,1,4,1,0,5,0.5,20,2.50%
Point Dume,"4,-1",4,-1,6,0,0,6,1.5,20,7.50%
Point Dume,"4,-2",4,-2,9,1,0,10,0.5,20,2.50%
Point Dume,"4,-3",4,-3,0,0,0,0,0.75,20,3.75%
Point Dume,"4,-4",4,-4,6,1,0,7,0.25,20,1.25%
Point Dume,"4,-5",4,-5,4,0,2,6,0.75,20,3.75%
